entity,topic,classification,document_reference,custom_id,speech_id,request_idx,speech_narrative_id,entity_type,entity_speech_narrative_id
enormous pain for millions of people over the winter months,inflation,higher,,speech_16651_narr_16651_24_effect_105,16651,105,16651_24,effect,enormous pain for millions of people over the winter months|16651_24
shift in the Phillips curve,inflation,higher,,speech_16651_narr_16651_25_cause_106,16651,106,16651_25,cause,shift in the Phillips curve|16651_25
embedding of inflation,inflation,higher,,speech_16651_narr_16651_25_effect_106,16651,106,16651_25,effect,embedding of inflation|16651_25
increases in Tre moderated through expectations channel,interest rates,lower,,speech_16651_narr_16651_26_cause_107,16651,107,16651_26,cause,increases in Tre moderated through expectations channel|16651_26
less of a slowing in aggregate demand,output,higher,,speech_16651_narr_16651_26_effect_107,16651,107,16651_26,effect,less of a slowing in aggregate demand|16651_26
increases in Tre moderated through expectations channel,interest rates,lower,,speech_16651_narr_16651_27_cause_108,16651,108,16651_27,cause,increases in Tre moderated through expectations channel|16651_27
less of a rise in unemployment,labour market,lower,,speech_16651_narr_16651_27_effect_108,16651,108,16651_27,effect,less of a rise in unemployment|16651_27
persistent misses of the target,inflation,lower,,speech_16651_narr_16651_28_cause_109,16651,109,16651_28,cause,persistent misses of the target|16651_28
more backward-looking inflation expectations,inflation,higher,,speech_16651_narr_16651_28_effect_109,16651,109,16651_28,effect,more backward-looking inflation expectations|16651_28
more backward-looking inflation expectations,inflation,higher,,speech_16651_narr_16651_29_cause_110,16651,110,16651_29,cause,more backward-looking inflation expectations|16651_29
increased dependence on aggregate demand slowdown,output,lower,,speech_16651_narr_16651_29_effect_110,16651,110,16651_29,effect,increased dependence on aggregate demand slowdown|16651_29
spikes in short-term inflation expectations,inflation,higher,,speech_16651_narr_16651_30_cause_111,16651,111,16651_30,cause,spikes in short-term inflation expectations|16651_30
drift in medium-term household inflation expectations,inflation,higher,,speech_16651_narr_16651_30_effect_111,16651,111,16651_30,effect,drift in medium-term household inflation expectations|16651_30
sequence of shocks,inflation,higher,,speech_16651_narr_16651_31_cause_112,16651,112,16651_31,cause,sequence of shocks|16651_31
extended duration of time above 2% target,inflation,higher,,speech_16651_narr_16651_31_effect_112,16651,112,16651_31,effect,extended duration of time above 2% target|16651_31
share of backward-looking agents,inflation,higher,,speech_16651_narr_16651_32_cause_113,16651,113,16651_32,cause,share of backward-looking agents|16651_32
more intrinsic inflation persistence,inflation,higher,,speech_16651_narr_16651_32_effect_113,16651,113,16651_32,effect,more intrinsic inflation persistence|16651_32
broadening of categories with higher-than-target inflation,inflation,higher,,speech_16651_narr_16651_33_cause_114,16651,114,16651_33,cause,broadening of categories with higher-than-target inflation|16651_33
upward-bias to wage negotiations,labour market,higher,,speech_16651_narr_16651_33_effect_114,16651,114,16651_33,effect,upward-bias to wage negotiations|16651_33
broadening of categories with higher-than-target inflation,inflation,higher,,speech_16651_narr_16651_34_cause_115,16651,115,16651_34,cause,broadening of categories with higher-than-target inflation|16651_34
me-too-ism in firms pricing strategies,inflation,higher,,speech_16651_narr_16651_34_effect_115,16651,115,16651_34,effect,me-too-ism in firms pricing strategies|16651_34
ratcheting-up from short-term to medium-term expectations,inflation,higher,,speech_16651_narr_16651_35_cause_116,16651,116,16651_35,cause,ratcheting-up from short-term to medium-term expectations|16651_35
persistent drift higher,inflation,higher,,speech_16651_narr_16651_35_effect_116,16651,116,16651_35,effect,persistent drift higher|16651_35
persistent drift higher in expectations,inflation,higher,,speech_16651_narr_16651_36_cause_117,16651,117,16651_36,cause,persistent drift higher in expectations|16651_36
persistently tighter stance of monetary policy,interest rates,higher,,speech_16651_narr_16651_36_effect_117,16651,117,16651_36,effect,persistently tighter stance of monetary policy|16651_36
gradual pace of increase in Bank Rate,interest rates,higher,,speech_16651_narr_16651_37_cause_118,16651,118,16651_37,cause,gradual pace of increase in Bank Rate|16651_37
embedding of short-term inflation overshoot into persistent drift in medium-term expectations,inflation,higher,,speech_16651_narr_16651_37_effect_118,16651,118,16651_37,effect,embedding of short-term inflation overshoot into persistent drift in medium-term expectations|16651_37
shift outward of the Phillips curve,inflation,higher,,speech_16651_narr_16651_38_cause_119,16651,119,16651_38,cause,shift outward of the Phillips curve|16651_38
permanently higher unemployment,labour market,higher,,speech_16651_narr_16651_38_effect_119,16651,119,16651_38,effect,permanently higher unemployment|16651_38
shift outward of the Phillips curve,labour market,higher,,speech_16651_narr_16651_39_cause_120,16651,120,16651_39,cause,shift outward of the Phillips curve|16651_39
lower aggregate demand,output,lower,,speech_16651_narr_16651_39_effect_120,16651,120,16651_39,effect,lower aggregate demand|16651_39
ratcheting-up and persistently high inflation in 1970s,inflation,higher,,speech_16651_narr_16651_40_cause_121,16651,121,16651_40,cause,ratcheting-up and persistently high inflation in 1970s|16651_40
long duration of elevated unemployment,labour market,higher,,speech_16651_narr_16651_40_effect_121,16651,121,16651_40,effect,long duration of elevated unemployment|16651_40
tighter policy stance now working through expectations,interest rates,higher,,speech_16651_narr_16651_41_cause_122,16651,122,16651_41,cause,tighter policy stance now working through expectations|16651_41
degree of restraint to aggregate demand,output,lower,,speech_16651_narr_16651_41_effect_122,16651,122,16651_41,effect,degree of restraint to aggregate demand|16651_41
firms believe monetary policy will keep Phillips curve from shifting,inflation,normal,,speech_16651_narr_16651_42_cause_123,16651,123,16651_42,cause,firms believe monetary policy will keep Phillips curve from shifting|16651_42
price expectations,inflation,normal,,speech_16651_narr_16651_42_effect_123,16651,123,16651_42,effect,price expectations|16651_42
complementarity in firms price setting,inflation,lower,,speech_16651_narr_16651_43_cause_124,16651,124,16651_43,cause,complementarity in firms price setting|16651_43
lower macro inflation,inflation,lower,,speech_16651_narr_16651_43_effect_124,16651,124,16651_43,effect,lower macro inflation|16651_43
monetary policy does not affect expectations formation,interest rates,lower,,speech_16651_narr_16651_44_cause_125,16651,125,16651_44,cause,monetary policy does not affect expectations formation|16651_44
drift in medium-term expectations yields worrisome shift of Phillips curve,inflation,higher,,speech_16651_narr_16651_44_effect_125,16651,125,16651_44,effect,drift in medium-term expectations yields worrisome shift of Phillips curve|16651_44
acting more forcefully now,interest rates,higher,,speech_16651_narr_16651_45_cause_126,16651,126,16651_45,cause,acting more forcefully now|16651_45
deeper and longer contraction,output,lower,,speech_16651_narr_16651_45_effect_126,16651,126,16651_45,effect,deeper and longer contraction|16651_45
energy prices,inflation,lower,,speech_16651_narr_16651_46_cause_127,16651,127,16651_46,cause,energy prices|16651_46
inflation below target,inflation,lower,,speech_16651_narr_16651_46_effect_127,16651,127,16651_46,effect,inflation below target|16651_46
negative effects from Covid on sales,output,lower,,speech_16651_narr_16651_47_cause_128,16651,128,16651_47,cause,negative effects from Covid on sales|16651_47
firms decreased prices less,inflation,higher,,speech_16651_narr_16651_47_effect_128,16651,128,16651_47,effect,firms decreased prices less|16651_47
positive effects from Covid on sales,output,higher,,speech_16651_narr_16651_48_cause_129,16651,129,16651_48,cause,positive effects from Covid on sales|16651_48
firms increased prices more,inflation,higher,,speech_16651_narr_16651_48_effect_129,16651,129,16651_48,effect,firms increased prices more|16651_48
real rate increase,interest rates,higher,,speech_16651_narr_16651_49_cause_130,16651,130,16651_49,cause,real rate increase|16651_49
inflation decrease,inflation,lower,,speech_16651_narr_16651_49_effect_130,16651,130,16651_49,effect,inflation decrease|16651_49
central bank increasing nominal rate more,interest rates,higher,,speech_16651_narr_16651_50_cause_131,16651,131,16651_50,cause,central bank increasing nominal rate more|16651_50
determinacy conditions met,interest rates,higher,,speech_16651_narr_16651_50_effect_131,16651,131,16651_50,effect,determinacy conditions met|16651_50
inflation expectations anchored,inflation,lower,,speech_16651_narr_16651_51_cause_132,16651,132,16651_51,cause,inflation expectations anchored|16651_51
difficulty stimulating economy,output,lower,,speech_16651_narr_16651_51_effect_132,16651,132,16651_51,effect,difficulty stimulating economy|16651_51
furlough scheme introduction,labour market,lower,,speech_16651_narr_16651_52_cause_133,16651,133,16651_52,cause,furlough scheme introduction|16651_52
unemployment rate not rising,labour market,normal,,speech_16651_narr_16651_52_effect_133,16651,133,16651_52,effect,unemployment rate not rising|16651_52
energy prices,inflation,higher,,speech_16651_narr_16651_53_cause_134,16651,134,16651_53,cause,energy prices|16651_53
3 percentage points of current inflation,inflation,higher,,speech_16651_narr_16651_53_effect_134,16651,134,16651_53,effect,3 percentage points of current inflation|16651_53
energy prices,inflation,higher,,speech_16651_narr_16651_54_cause_135,16651,135,16651_54,cause,energy prices|16651_54
7 percentage points of inflation,inflation,higher,,speech_16651_narr_16651_54_effect_135,16651,135,16651_54,effect,7 percentage points of inflation|16651_54
announcements of rate changes,interest rates,higher,,speech_16651_narr_16651_55_cause_136,16651,136,16651_55,cause,announcements of rate changes|16651_55
household expectations,inflation,higher,,speech_16651_narr_16651_55_effect_136,16651,136,16651_55,effect,household expectations|16651_55
expectations reacting immediately,inflation,higher,,speech_16651_narr_16651_56_cause_137,16651,137,16651_56,cause,expectations reacting immediately|16651_56
inflation adjusting before real economy,inflation,higher,,speech_16651_narr_16651_56_effect_137,16651,137,16651_56,effect,inflation adjusting before real economy|16651_56
advanced economy central banks,interest rates,higher,,speech_16652_narr_16652_0_cause_138,16652,138,16652_0,cause,advanced economy central banks|16652_0
increase in policy rates,interest rates,higher,,speech_16652_narr_16652_0_effect_138,16652,138,16652_0,effect,increase in policy rates|16652_0
Federal Reserve,interest rates,higher,,speech_16652_narr_16652_1_cause_139,16652,139,16652_1,cause,Federal Reserve|16652_1
increase in policy rate by 25 basis points,interest rates,higher,,speech_16652_narr_16652_1_effect_139,16652,139,16652_1,effect,increase in policy rate by 25 basis points|16652_1
European Central Bank,interest rates,higher,,speech_16652_narr_16652_2_cause_140,16652,140,16652_2,cause,European Central Bank|16652_2
increase in policy rate by 50 basis points,interest rates,higher,,speech_16652_narr_16652_2_effect_140,16652,140,16652_2,effect,increase in policy rate by 50 basis points|16652_2
Bank of England,interest rates,higher,,speech_16652_narr_16652_3_cause_141,16652,141,16652_3,cause,Bank of England|16652_3
increase in policy rate by 50 basis points,interest rates,higher,,speech_16652_narr_16652_3_effect_141,16652,141,16652_3,effect,increase in policy rate by 50 basis points|16652_3
Bank of Canada,interest rates,normal,,speech_16652_narr_16652_4_cause_142,16652,142,16652_4,cause,Bank of Canada|16652_4
signal of policy rate pause,interest rates,normal,,speech_16652_narr_16652_4_effect_142,16652,142,16652_4,effect,signal of policy rate pause|16652_4
Bank of Japan,interest rates,normal,,speech_16652_narr_16652_5_cause_143,16652,143,16652_5,cause,Bank of Japan|16652_5
maintenance of updated yield curve control target,interest rates,normal,,speech_16652_narr_16652_5_effect_143,16652,143,16652_5,effect,maintenance of updated yield curve control target|16652_5
turning point in data,other,higher,,speech_16652_narr_16652_6_cause_144,16652,144,16652_6,cause,turning point in data|16652_6
inflection in policy paths,interest rates,higher,,speech_16652_narr_16652_6_effect_144,16652,144,16652_6,effect,inflection in policy paths|16652_6
turning point in data,other,higher,,speech_16652_narr_16652_7_cause_145,16652,145,16652_7,cause,turning point in data|16652_7
re-assessment of policy,interest rates,higher,,speech_16652_narr_16652_7_effect_145,16652,145,16652_7,effect,re-assessment of policy|16652_7
calibration of policy,interest rates,normal,,speech_16652_narr_16652_8_cause_146,16652,146,16652_8,cause,calibration of policy|16652_8
impact on inflation,inflation,normal,,speech_16652_narr_16652_8_effect_146,16652,146,16652_8,effect,impact on inflation|16652_8
calibration of policy,interest rates,normal,,speech_16652_narr_16652_9_cause_147,16652,147,16652_9,cause,calibration of policy|16652_9
impact on employment,labour market,normal,,speech_16652_narr_16652_9_effect_147,16652,147,16652_9,effect,impact on employment|16652_9
UK labor market conditions,labour market,higher,,speech_16652_narr_16652_10_cause_148,16652,148,16652_10,cause,UK labor market conditions|16652_10
stronger wage growth,labour market,higher,,speech_16652_narr_16652_10_effect_148,16652,148,16652_10,effect,stronger wage growth|16652_10
Covid and lockdowns,labour market,higher,,speech_16652_narr_16652_11_cause_149,16652,149,16652_11,cause,Covid and lockdowns|16652_11
structural changes in UK labor market,labour market,higher,,speech_16652_narr_16652_11_effect_149,16652,149,16652_11,effect,structural changes in UK labor market|16652_11
Russia's invasion of Ukraine,geopolitical shocks,higher,,speech_16652_narr_16652_12_cause_150,16652,150,16652_12,cause,Russia's invasion of Ukraine|16652_12
rise in production costs for firms,geopolitical shocks,higher,,speech_16652_narr_16652_12_effect_150,16652,150,16652_12,effect,rise in production costs for firms|16652_12
yield curve inversion,interest rates,higher,,speech_16652_narr_16652_13_cause_151,16652,151,16652_13,cause,yield curve inversion|16652_13
recession indicator,financial markets,higher,,speech_16652_narr_16652_13_effect_151,16652,151,16652_13,effect,recession indicator|16652_13
central banks tightening in the short term,interest rates,higher,,speech_16652_narr_16652_14_cause_152,16652,152,16652_14,cause,central banks tightening in the short term|16652_14
recession,output,higher,,speech_16652_narr_16652_14_effect_152,16652,152,16652_14,effect,recession|16652_14
central banks cutting interest rates in the future,interest rates,lower,,speech_16652_narr_16652_15_cause_153,16652,153,16652_15,cause,central banks cutting interest rates in the future|16652_15
response to recession,interest rates,lower,,speech_16652_narr_16652_15_effect_153,16652,153,16652_15,effect,response to recession|16652_15
households willing to pay prices,inflation,lower,,speech_16652_narr_16652_16_cause_154,16652,154,16652_16,cause,households willing to pay prices|16652_16
firms realizing expected pricing power,inflation,normal,,speech_16652_narr_16652_16_effect_154,16652,154,16652_16,effect,firms realizing expected pricing power|16652_16
buyer revolt,inflation,lower,,speech_16652_narr_16652_17_cause_155,16652,155,16652_17,cause,buyer revolt|16652_17
turning point signal,inflation,lower,,speech_16652_narr_16652_17_effect_155,16652,155,16652_17,effect,turning point signal|16652_17
"global energy, food, and goods prices",inflation,lower,,speech_16652_narr_16652_18_cause_156,16652,156,16652_18,cause,"global energy, food, and goods prices|16652_18"
deceleration of inflation,inflation,lower,,speech_16652_narr_16652_18_effect_156,16652,156,16652_18,effect,deceleration of inflation|16652_18
expected weakness in demand relative to supply,output,lower,,speech_16652_narr_16652_19_cause_157,16652,157,16652_19,cause,expected weakness in demand relative to supply|16652_19
discipline in domestic price and wage setting,inflation,lower,,speech_16652_narr_16652_19_effect_157,16652,157,16652_19,effect,discipline in domestic price and wage setting|16652_19
large fiscal stimulus in the US,government spending,higher,,speech_16652_narr_16652_20_cause_158,16652,158,16652_20,cause,large fiscal stimulus in the US|16652_20
inflationary surges,inflation,higher,,speech_16652_narr_16652_20_effect_158,16652,158,16652_20,effect,inflationary surges|16652_20
shift up and steepness of the curve,interest rates,higher,,speech_16652_narr_16652_21_cause_159,16652,159,16652_21,cause,shift up and steepness of the curve|16652_21
market expectations of the path that the MPC would need to take,interest rates,higher,,speech_16652_narr_16652_21_effect_159,16652,159,16652_21,effect,market expectations of the path that the MPC would need to take|16652_21
unexpected increase in inflation,inflation,higher,,speech_16652_narr_16652_22_cause_160,16652,160,16652_22,cause,unexpected increase in inflation|16652_22
nominal interest rate,interest rates,higher,,speech_16652_narr_16652_22_effect_160,16652,160,16652_22,effect,nominal interest rate|16652_22
unexpected increase in inflation,inflation,higher,,speech_16652_narr_16652_23_cause_161,16652,161,16652_23,cause,unexpected increase in inflation|16652_23
real rate,interest rates,higher,,speech_16652_narr_16652_23_effect_161,16652,161,16652_23,effect,real rate|16652_23
falling real rate,interest rates,lower,,speech_16652_narr_16652_24_cause_162,16652,162,16652_24,cause,falling real rate|16652_24
consumption and investment decisions,interest rates,lower,,speech_16652_narr_16652_24_effect_162,16652,162,16652_24,effect,consumption and investment decisions|16652_24
rising real rate,interest rates,higher,,speech_16652_narr_16652_25_cause_163,16652,163,16652_25,cause,rising real rate|16652_25
consumption and investment decisions,interest rates,higher,,speech_16652_narr_16652_25_effect_163,16652,163,16652_25,effect,consumption and investment decisions|16652_25
real rates,interest rates,lower,,speech_16652_narr_16652_26_cause_164,16652,164,16652_26,cause,real rates|16652_26
stance of monetary policy becomes more expansionary,interest rates,lower,,speech_16652_narr_16652_26_effect_164,16652,164,16652_26,effect,stance of monetary policy becomes more expansionary|16652_26
nominal rates,interest rates,higher,,speech_16652_narr_16652_27_cause_165,16652,165,16652_27,cause,nominal rates|16652_27
real rates,interest rates,lower,,speech_16652_narr_16652_27_effect_165,16652,165,16652_27,effect,real rates|16652_27
real rates,interest rates,lower,,speech_16652_narr_16652_28_cause_166,16652,166,16652_28,cause,real rates|16652_28
inflation became entrenched,inflation,higher,,speech_16652_narr_16652_28_effect_166,16652,166,16652_28,effect,inflation became entrenched|16652_28
policymakers implement policies focused on reducing carbon emissions,other,higher,,speech_16652_narr_16652_29_cause_167,16652,167,16652_29,cause,policymakers implement policies focused on reducing carbon emissions|16652_29
volatility of inflation,inflation,higher,,speech_16652_narr_16652_29_effect_167,16652,167,16652_29,effect,volatility of inflation|16652_29
OECD CLIs,output,normal,,speech_16652_narr_16652_30_cause_168,16652,168,16652_30,cause,OECD CLIs|16652_30
business cycle fluctuations,output,normal,,speech_16652_narr_16652_30_effect_168,16652,168,16652_30,effect,business cycle fluctuations|16652_30
high weight on slack in the economy by monetary policymaker,output,higher,,speech_16652_narr_16652_31_cause_169,16652,169,16652_31,cause,high weight on slack in the economy by monetary policymaker|16652_31
determinate price level,inflation,normal,,speech_16652_narr_16652_31_effect_169,16652,169,16652_31,effect,determinate price level|16652_31
positive trend inflation,inflation,higher,,speech_16652_narr_16652_32_cause_170,16652,170,16652_32,cause,positive trend inflation|16652_32
region of determinacy shrinks,inflation,lower,,speech_16652_narr_16652_32_effect_170,16652,170,16652_32,effect,region of determinacy shrinks|16652_32
minor amounts of myopia,other,lower,,speech_16652_narr_16652_33_cause_171,16652,171,16652_33,cause,minor amounts of myopia|16652_33
problem of indeterminacy,other,lower,,speech_16652_narr_16652_33_effect_171,16652,171,16652_33,effect,problem of indeterminacy|16652_33
long-term factors such as demographics,productivity,lower,,speech_16652_narr_16652_34_cause_172,16652,172,16652_34,cause,long-term factors such as demographics|16652_34
falling time-varying equilibrium rate,interest rates,lower,,speech_16652_narr_16652_34_effect_172,16652,172,16652_34,effect,falling time-varying equilibrium rate|16652_34
medium-term headwinds,other,lower,,speech_16652_narr_16652_35_cause_173,16652,173,16652_35,cause,medium-term headwinds|16652_35
falling time-varying equilibrium rate,interest rates,lower,,speech_16652_narr_16652_35_effect_173,16652,173,16652_35,effect,falling time-varying equilibrium rate|16652_35
measured real yields,interest rates,lower,,speech_16652_narr_16652_36_cause_174,16652,174,16652_36,cause,measured real yields|16652_36
stand still,interest rates,normal,,speech_16652_narr_16652_36_effect_174,16652,174,16652_36,effect,stand still|16652_36
changes in monetary policy,interest rates,normal,,speech_16653_narr_16653_0_cause_175,16653,175,16653_0,cause,changes in monetary policy|16653_0
changes in inflation,inflation,normal,,speech_16653_narr_16653_0_effect_175,16653,175,16653_0,effect,changes in inflation|16653_0
changes in the economy and economic environment,output,normal,,speech_16653_narr_16653_1_cause_176,16653,176,16653_1,cause,changes in the economy and economic environment|16653_1
changes in monetary transmission,interest rates,normal,,speech_16653_narr_16653_1_effect_176,16653,176,16653_1,effect,changes in monetary transmission|16653_1
raising Bank Rate,interest rates,higher,,speech_16653_narr_16653_2_cause_177,16653,177,16653_2,cause,raising Bank Rate|16653_2
tightening of monetary conditions,interest rates,higher,,speech_16653_narr_16653_2_effect_177,16653,177,16653_2,effect,tightening of monetary conditions|16653_2
tightening in financial conditions,financial markets,higher,,speech_16653_narr_16653_3_cause_178,16653,178,16653_3,cause,tightening in financial conditions|16653_3
households cut back on consumption,output,lower,,speech_16653_narr_16653_3_effect_178,16653,178,16653_3,effect,households cut back on consumption|16653_3
tightening in financial conditions,financial markets,higher,,speech_16653_narr_16653_4_cause_179,16653,179,16653_4,cause,tightening in financial conditions|16653_4
firms reduce investment,output,lower,,speech_16653_narr_16653_4_effect_179,16653,179,16653_4,effect,firms reduce investment|16653_4
expectations about the future,other,normal,,speech_16653_narr_16653_5_cause_180,16653,180,16653_5,cause,expectations about the future|16653_5
influence on the present,other,normal,,speech_16653_narr_16653_5_effect_180,16653,180,16653_5,effect,influence on the present|16653_5
MPC's tightening in monetary policy,interest rates,higher,,speech_16653_narr_16653_6_cause_181,16653,181,16653_6,cause,MPC's tightening in monetary policy|16653_6
downward effect on equity prices,financial markets,lower,,speech_16653_narr_16653_6_effect_181,16653,181,16653_6,effect,downward effect on equity prices|16653_6
shareholder payout,financial markets,higher,,speech_16653_narr_16653_7_cause_182,16653,182,16653_7,cause,shareholder payout|16653_7
positive contribution to equity prices,financial markets,higher,,speech_16653_narr_16653_7_effect_182,16653,182,16653_7,effect,positive contribution to equity prices|16653_7
equity risk premium,financial markets,higher,,speech_16653_narr_16653_8_cause_183,16653,183,16653_8,cause,equity risk premium|16653_8
positive contribution to equity prices,financial markets,higher,,speech_16653_narr_16653_8_effect_183,16653,183,16653_8,effect,positive contribution to equity prices|16653_8
monetary policy tightening through interest rates,interest rates,higher,,speech_16653_narr_16653_9_cause_184,16653,184,16653_9,cause,monetary policy tightening through interest rates|16653_9
effects on equity prices,financial markets,lower,,speech_16653_narr_16653_9_effect_184,16653,184,16653_9,effect,effects on equity prices|16653_9
rise in UK interest rates,interest rates,higher,,speech_16653_narr_16653_10_cause_185,16653,185,16653_10,cause,rise in UK interest rates|16653_10
Sterling appreciation,exchange rate,lower,,speech_16653_narr_16653_10_effect_185,16653,185,16653_10,effect,Sterling appreciation|16653_10
Federal Reserve tightening,interest rates,higher,,speech_16653_narr_16653_11_cause_186,16653,186,16653_11,cause,Federal Reserve tightening|16653_11
Sterling depreciation,exchange rate,lower,,speech_16653_narr_16653_11_effect_186,16653,186,16653_11,effect,Sterling depreciation|16653_11
MPC tightening,interest rates,higher,,speech_16653_narr_16653_12_cause_187,16653,187,16653_12,cause,MPC tightening|16653_12
Sterling depreciation,exchange rate,lower,,speech_16653_narr_16653_12_effect_187,16653,187,16653_12,effect,Sterling depreciation|16653_12
persistent UK-specific risk premium,exchange rate,higher,,speech_16653_narr_16653_13_cause_188,16653,188,16653_13,cause,persistent UK-specific risk premium|16653_13
reduced appetite for Sterling assets,financial markets,lower,,speech_16653_narr_16653_13_effect_188,16653,188,16653_13,effect,reduced appetite for Sterling assets|16653_13
depreciation of Sterling,exchange rate,lower,,speech_16653_narr_16653_14_cause_189,16653,189,16653_14,cause,depreciation of Sterling|16653_14
looser financial conditions,financial markets,lower,,speech_16653_narr_16653_14_effect_189,16653,189,16653_14,effect,looser financial conditions|16653_14
falling equity risk premium,financial markets,lower,,speech_16653_narr_16653_15_cause_190,16653,190,16653_15,cause,falling equity risk premium|16653_15
looser financial conditions,financial markets,lower,,speech_16653_narr_16653_15_effect_190,16653,190,16653_15,effect,looser financial conditions|16653_15
monetary policy shock,interest rates,higher,,speech_16653_narr_16653_16_cause_191,16653,191,16653_16,cause,monetary policy shock|16653_16
appreciation of Sterling exchange rate index,exchange rate,higher,,speech_16653_narr_16653_16_effect_191,16653,191,16653_16,effect,appreciation of Sterling exchange rate index|16653_16
monetary policy shock,interest rates,higher,,speech_16653_narr_16653_17_cause_192,16653,192,16653_17,cause,monetary policy shock|16653_17
delayed response on the level of real GDP,output,lower,,speech_16653_narr_16653_17_effect_192,16653,192,16653_17,effect,delayed response on the level of real GDP|16653_17
contractionary monetary policy,interest rates,higher,,speech_16653_narr_16653_18_cause_193,16653,193,16653_18,cause,contractionary monetary policy|16653_18
permanently negative effect on the level of output relative to trend,output,lower,,speech_16653_narr_16653_18_effect_193,16653,193,16653_18,effect,permanently negative effect on the level of output relative to trend|16653_18
monetary policy shock,interest rates,lower,,speech_16653_narr_16653_19_cause_194,16653,194,16653_19,cause,monetary policy shock|16653_19
negative effect on the level of CPI,inflation,lower,,speech_16653_narr_16653_19_effect_194,16653,194,16653_19,effect,negative effect on the level of CPI|16653_19
announced changes in the monetary policy rate,interest rates,higher,,speech_16653_narr_16653_20_cause_195,16653,195,16653_20,cause,announced changes in the monetary policy rate|16653_20
firms revise their price expectations,inflation,lower,,speech_16653_narr_16653_20_effect_195,16653,195,16653_20,effect,firms revise their price expectations|16653_20
changes in the effectiveness of monetary policy,interest rates,normal,,speech_16653_narr_16653_21_cause_196,16653,196,16653_21,cause,changes in the effectiveness of monetary policy|16653_21
control of inflation,inflation,normal,,speech_16653_narr_16653_21_effect_196,16653,196,16653_21,effect,control of inflation|16653_21
monetary tightening,interest rates,higher,,speech_16653_narr_16653_22_cause_197,16653,197,16653_22,cause,monetary tightening|16653_22
effect on inflation,inflation,lower,,speech_16653_narr_16653_22_effect_197,16653,197,16653_22,effect,effect on inflation|16653_22
energy prices surge,inflation,higher,,speech_16653_narr_16653_23_cause_198,16653,198,16653_23,cause,energy prices surge|16653_23
share of backward-looking agents,other,higher,,speech_16653_narr_16653_23_effect_198,16653,198,16653_23,effect,share of backward-looking agents|16653_23
cost-push shock,inflation,higher,,speech_16653_narr_16653_24_cause_199,16653,199,16653_24,cause,cost-push shock|16653_24
increase in prices,inflation,higher,,speech_16653_narr_16653_24_effect_199,16653,199,16653_24,effect,increase in prices|16653_24
cost-push shock,inflation,normal,,speech_16653_narr_16653_25_cause_200,16653,200,16653_25,cause,cost-push shock|16653_25
limited and short-lived impact on activity and prices,inflation,lower,,speech_16653_narr_16653_25_effect_200,16653,200,16653_25,effect,limited and short-lived impact on activity and prices|16653_25
lagged nature of year-on-year inflation,inflation,normal,,speech_16653_narr_16653_26_cause_201,16653,201,16653_26,cause,lagged nature of year-on-year inflation|16653_26
inflation peaks after four quarters,inflation,higher,,speech_16653_narr_16653_26_effect_201,16653,201,16653_26,effect,inflation peaks after four quarters|16653_26
backward-looking inflation expectations formation,inflation,higher,,speech_16653_narr_16653_27_cause_202,16653,202,16653_27,cause,backward-looking inflation expectations formation|16653_27
output gap more negative for longer,output,lower,,speech_16653_narr_16653_27_effect_202,16653,202,16653_27,effect,output gap more negative for longer|16653_27
backward-looking inflation expectations formation,inflation,higher,,speech_16653_narr_16653_28_cause_203,16653,203,16653_28,cause,backward-looking inflation expectations formation|16653_28
inflation peaking higher and remaining above target,inflation,higher,,speech_16653_narr_16653_28_effect_203,16653,203,16653_28,effect,inflation peaking higher and remaining above target|16653_28
increasing share of backward-looking agents,other,higher,,speech_16653_narr_16653_29_cause_204,16653,204,16653_29,cause,increasing share of backward-looking agents|16653_29
pronounced hump-shaped pattern in output,output,higher,,speech_16653_narr_16653_29_effect_204,16653,204,16653_29,effect,pronounced hump-shaped pattern in output|16653_29
pronounced hump-shaped pattern in inflation,inflation,higher,,speech_16653_narr_16653_29_effect_204,16653,204,16653_29,effect,pronounced hump-shaped pattern in inflation|16653_29
increased share of backward-looking firms,inflation,higher,,speech_16653_narr_16653_30_cause_205,16653,205,16653_30,cause,increased share of backward-looking firms|16653_30
speed at which monetary policy affects realised inflation changes,inflation,normal,,speech_16653_narr_16653_30_effect_205,16653,205,16653_30,effect,speed at which monetary policy affects realised inflation changes|16653_30
increasing degree of backward-lookingness,inflation,higher,,speech_16653_narr_16653_31_cause_206,16653,206,16653_31,cause,increasing degree of backward-lookingness|16653_31
shrinking share of price-setters considering supply and demand conditions,inflation,lower,,speech_16653_narr_16653_31_effect_206,16653,206,16653_31,effect,shrinking share of price-setters considering supply and demand conditions|16653_31
high share of backward-looking agents,other,higher,,speech_16653_narr_16653_32_cause_207,16653,207,16653_32,cause,high share of backward-looking agents|16653_32
monetary policy effectiveness diminished,interest rates,lower,,speech_16653_narr_16653_32_effect_207,16653,207,16653_32,effect,monetary policy effectiveness diminished|16653_32
sequence of large inflationary shocks,inflation,higher,,speech_16653_narr_16653_33_cause_208,16653,208,16653_33,cause,sequence of large inflationary shocks|16653_33
increased risk of being in the purple world,geopolitical shocks,higher,,speech_16653_narr_16653_33_effect_208,16653,208,16653_33,effect,increased risk of being in the purple world|16653_33
