cause_entity,effect_entity,relationship,document_reference,quantifications,modulator_uncertainty,modulator_temporal,tense,custom_id,speech_id,batch_id,speech_narrative_id
US monetary policy shocks,depressing world trade,US monetary policy shocks lead to a decrease in world trade,"For example, Miranda-Agrippino & Nenova (2022) show how US monetary policy shocks significantly spill over into global financial and macroeconomic conditions, depressing world production and trade.",NA,NA,NA,PRESENT,speech_16650_batch_3,16650,batch_695a66a511ac819090e4a12e5ef9064c,16650_27
decrease in global risk-taking,slowdown,A decrease in global risk-taking contributes to the economic slowdown,Pinchetti & Szczepaniak (2022) document that an important contributor to this slowdown is the decrease in global risk-taking following a US tightening.,NA,NA,NA,PRESENT,speech_16650_batch_3,16650,batch_695a66a511ac819090e4a12e5ef9064c,16650_28
US monetary policy,contractionary in output,US monetary policy affects output through an international credit channel,"Consistent with these results, Cesa-Bianchi & Sokol (2022) find that there exists an international credit channel of US monetary policy which is contractionary in both output and inflation at home and abroad.",NA,NA,NA,PRESENT,speech_16650_batch_3,16650,batch_695a66a511ac819090e4a12e5ef9064c,16650_29
US monetary policy,contractionary in inflation,US monetary policy affects inflation through an international credit channel,"Consistent with these results, Cesa-Bianchi & Sokol (2022) find that there exists an international credit channel of US monetary policy which is contractionary in both output and inflation at home and abroad.",NA,NA,NA,PRESENT,speech_16650_batch_3,16650,batch_695a66a511ac819090e4a12e5ef9064c,16650_30
US tightening,inflationary in emerging market economies,US tightening leads to inflation in emerging market economies,"See for example Ahmed et al. (2021) who show how US tightening is inflationary in emerging market economies, especially when this tightening is driven by stronger US demand.",NA,NA,NA,PRESENT,speech_16650_batch_3,16650,batch_695a66a511ac819090e4a12e5ef9064c,16650_31
stronger US demand,US tightening,Stronger US demand drives US tightening,"See for example Ahmed et al. (2021) who show how US tightening is inflationary in emerging market economies, especially when this tightening is driven by stronger US demand.",NA,NA,NA,PRESENT,speech_16650_batch_3,16650,batch_695a66a511ac819090e4a12e5ef9064c,16650_32
better fundamentals and well-anchored inflation expectations,smaller inflationary effects for EMEs,Better fundamentals and well-anchored inflation expectations reduce inflationary effects,They also document that inflationary effects are smaller for EMEs with better fundamentals and well-anchored inflation expectations.,NA,NA,NA,PRESENT,speech_16650_batch_3,16650,batch_695a66a511ac819090e4a12e5ef9064c,16650_33
monetary policy loosening by the ECB,disinflationary in non-Euro Central and Eastern European countries,Monetary policy loosening by the ECB causes disinflation in non-Euro Central and Eastern European countries,"For Europe, Potjagailo (2017) finds that a monetary policy loosening by the ECB is disinflationary in non-Euro Central and Eastern European countries, similarly documenting spillovers that induce opposite price reactions in the country of the shock and abroad.",NA,NA,NA,PRESENT,speech_16650_batch_3,16650,batch_695a66a511ac819090e4a12e5ef9064c,16650_34
US tightening,trade-off inducing for the UK,US tightening causes a trade-off in the UK as the inflationary effect dominates,These cross-checks yield the same result that a US tightening is trade-off inducing for the UK as the inflationary effect dominates in the near term.,NA,NA,in the near term,PRESENT,speech_16650_batch_3,16650,batch_695a66a511ac819090e4a12e5ef9064c,16650_35
inflation expectations,Phillips curve,affect,Catherine L. Mann describes how inflation expectations affect the Phillips curve.,NA,NA,NA,PRESENT,speech_16651_batch_0,16651,batch_695a66a5f2e88190971c232624e92430,16651_0
MPC raises interest rates,increase in borrowing costs for firms and households,causes,"To bring inflation down, when the MPC raises interest rates, it increases borrowing costs for firms and households causing them to spend less, unemployment eventually rises and slack opens up.",NA,NA,NA,PRESENT,speech_16651_batch_0,16651,batch_695a66a5f2e88190971c232624e92430,16651_1
increase in borrowing costs for firms and households,decrease in spending,causes,"To bring inflation down, when the MPC raises interest rates, it increases borrowing costs for firms and households causing them to spend less, unemployment eventually rises and slack opens up.",NA,NA,NA,PRESENT,speech_16651_batch_0,16651,batch_695a66a5f2e88190971c232624e92430,16651_2
decrease in spending,increase in unemployment,causes,"To bring inflation down, when the MPC raises interest rates, it increases borrowing costs for firms and households causing them to spend less, unemployment eventually rises and slack opens up.",NA,NA,NA,PRESENT,speech_16651_batch_0,16651,batch_695a66a5f2e88190971c232624e92430,16651_3
increase in unemployment,opening of slack,causes,"To bring inflation down, when the MPC raises interest rates, it increases borrowing costs for firms and households causing them to spend less, unemployment eventually rises and slack opens up.",NA,NA,NA,PRESENT,speech_16651_batch_0,16651,batch_695a66a5f2e88190971c232624e92430,16651_4
opening of slack,companies adjust prices,causes,Only then do companies adjust prices in response to slowing demand for their goods and services.,NA,NA,NA,PRESENT,speech_16651_batch_0,16651,batch_695a66a5f2e88190971c232624e92430,16651_5
MPC raises interest rates,decrease in aggregate demand,causes,"Importantly, since lagged inflation is pre-determined, the only way to get inflation down from high levels is to depress aggregate demand for an extended period of time.",NA,NA,for an extended period of time,PRESENT,speech_16651_batch_0,16651,batch_695a66a5f2e88190971c232624e92430,16651_6
inflation expectations,inflation outcomes,affect,"In this more complex formulation, monetary policy, by having an expected effect on macroeconomic outcomes, can feed back to affect the inflation expectations process and therefore current inflation outcomes.",NA,NA,NA,PRESENT,speech_16651_batch_0,16651,batch_695a66a5f2e88190971c232624e92430,16651_7
shocks increase costs,persistent rise in desired mark-ups,causes,"If a series of large and salient shocks increase costs for some but not others, this me-too-ism would show up as a persistent rise in desired mark-ups, driving inflation upwards with seemingly no connection to cost or demand conditions.",NA,NA,NA,PRESENT,speech_16651_batch_0,16651,batch_695a66a5f2e88190971c232624e92430,16651_8
persistent rise in desired mark-ups,increase in inflation,causes,"If a series of large and salient shocks increase costs for some but not others, this me-too-ism would show up as a persistent rise in desired mark-ups, driving inflation upwards with seemingly no connection to cost or demand conditions.",NA,NA,NA,PRESENT,speech_16651_batch_0,16651,batch_695a66a5f2e88190971c232624e92430,16651_9
inflation expectations drift up,higher inflation,causes,"On the flipside, holding the level of slack constant at the old y* will lead to higher inflation (the intersection of the vertical dotted line with the red curve).",NA,NA,NA,PRESENT,speech_16651_batch_0,16651,batch_695a66a5f2e88190971c232624e92430,16651_10
inflation expectations drift up,more slack required,causes,"Keeping inflation at target requires more slack in the economy, more unemployment, and lower growth (the intersection of the horizontal dotted line with the red curve).",NA,NA,NA,PRESENT,speech_16651_batch_0,16651,batch_695a66a5f2e88190971c232624e92430,16651_11
inflation expectations drift up,more unemployment,causes,"Keeping inflation at target requires more slack in the economy, more unemployment, and lower growth (the intersection of the horizontal dotted line with the red curve).",NA,NA,NA,PRESENT,speech_16651_batch_0,16651,batch_695a66a5f2e88190971c232624e92430,16651_12
inflation expectations drift up,lower growth,causes,"Keeping inflation at target requires more slack in the economy, more unemployment, and lower growth (the intersection of the horizontal dotted line with the red curve).",NA,NA,NA,PRESENT,speech_16651_batch_0,16651,batch_695a66a5f2e88190971c232624e92430,16651_13
economic slack,prices rise more in expansions,causes,"All told, for a given change in economic slack, prices will rise more in expansions than they would fall in contractions.",NA,NA,NA,PRESENT,speech_16651_batch_0,16651,batch_695a66a5f2e88190971c232624e92430,16651_14
economic slack,prices fall less in contractions,causes,"All told, for a given change in economic slack, prices will rise more in expansions than they would fall in contractions.",NA,NA,NA,PRESENT,speech_16651_batch_0,16651,batch_695a66a5f2e88190971c232624e92430,16651_15
inflation expectations change,location of the Phillips curve,causes,"When expectations change, so does the location of the curve.",NA,NA,NA,PRESENT,speech_16651_batch_0,16651,batch_695a66a5f2e88190971c232624e92430,16651_16
inflation expectations drift up,shift in Phillips curve,causes,Now consider the case in which inflation expectations drift up: the newly attainable combinations of inflation and slack are shown by the red curve.,NA,NA,NA,PRESENT,speech_16651_batch_0,16651,batch_695a66a5f2e88190971c232624e92430,16651_17
inflation expectations drift up,more economic pain required,causes,"If there are such shifts in inflation expectations, more economic pain is required to bring inflation back to target (red dashed curve on the right-hand side of Chart 2).",NA,NA,NA,PRESENT,speech_16651_batch_0,16651,batch_695a66a5f2e88190971c232624e92430,16651_18
inflation expectations drift up,higher inflation,causes,"On the flipside, holding the level of slack constant at the old y* will lead to higher inflation (the intersection of the vertical dotted line with the red curve).",NA,NA,NA,PRESENT,speech_16651_batch_0,16651,batch_695a66a5f2e88190971c232624e92430,16651_19
inflation expectations are time-varying,monetary policy can affect inflation expectations directly,Time-varying inflation expectations allow monetary policy to influence them directly.,"There is another way: When inflation expectations are time-varying monetary policy can affect them directly, shifting the curve back towards the fundamental equilibrium tt* and y* via both movements along the curve but also shifting it.",NA,NA,NA,PRESENT,speech_16651_batch_1,16651,batch_695a66a5f2e88190971c232624e92430,16651_20
past inflation,short-term inflation expectations are elevated,"Past inflation influences short-term inflation expectations, causing them to be elevated.",Second: Short-term inflation expectations are worryingly elevated but mostly reflect past inflation and are likely not a good guide for policy choices or outcomes in real time.,NA,likely,NA,PRESENT,speech_16651_batch_1,16651,batch_695a66a5f2e88190971c232624e92430,16651_21
realized inflation,medium-term measures of inflation expectations have drifted up,Realized inflation causes medium-term measures of inflation expectations to drift up.,"Third, of significant concern: Medium-term measures of inflation expectations have drifted up alongside realized inflation, albeit not by as much.",NA,NA,NA,PAST,speech_16651_batch_1,16651,batch_695a66a5f2e88190971c232624e92430,16651_22
drift in medium-term inflation expectations,monetary policy needs to firmly lean against it,A drift in medium-term inflation expectations necessitates a firm response from monetary policy.,A drift in medium-term inflation expectations is the development that monetary policy needs to firmly lean against and it should be a key yardstick for whether the MPCs decisions are effective.,NA,NA,NA,PRESENT,speech_16651_batch_1,16651,batch_695a66a5f2e88190971c232624e92430,16651_23
shock on the economy,short-term inflation expectations reflect the direct impact,A shock on the economy directly impacts short-term inflation expectations.,"In the very short run, roughly up to the 1-year horizon, they mostly reflect the direct impact of the shock on the economy.",NA,NA,in the very short run,PRESENT,speech_16651_batch_1,16651,batch_695a66a5f2e88190971c232624e92430,16651_24
recent inflation outcomes,short-term expectations are correlated,Recent inflation outcomes correlate with short-term expectations.,"Short-term expectations are, therefore, quite correlated with recent inflation outcomes as can be seen, for example, from price expectations of firms in the Decision Maker Panel.",NA,NA,NA,PRESENT,speech_16651_batch_1,16651,batch_695a66a5f2e88190971c232624e92430,16651_25
price changes over the past 12 months,expectations of price changes over the next 12 months have increased,Price changes over the past 12 months cause expectations of price changes over the next 12 months to increase.,"As Chart 4 shows, expectations of price changes over the next 12 months have increased by similar amounts as price changes over the past 12 months.",NA,NA,NA,PAST,speech_16651_batch_1,16651,batch_695a66a5f2e88190971c232624e92430,16651_26
massive energy price squeeze,financial markets anticipate a worsening macro environment,The massive energy price squeeze leads financial markets to anticipate a worsening macro environment.,"Financial markets, being more forward looking, anticipate a worsening macro environment resulting from the massive energy price squeeze and also the tightening of financial conditions that they, to a degree, are responsible for.",NA,NA,NA,PRESENT,speech_16651_batch_1,16651,batch_695a66a5f2e88190971c232624e92430,16651_27
tightening of financial conditions,financial markets anticipate a worsening macro environment,The tightening of financial conditions leads financial markets to anticipate a worsening macro environment.,"Financial markets, being more forward looking, anticipate a worsening macro environment resulting from the massive energy price squeeze and also the tightening of financial conditions that they, to a degree, are responsible for.",NA,NA,NA,PRESENT,speech_16651_batch_1,16651,batch_695a66a5f2e88190971c232624e92430,16651_28
current and anticipated policy choices,medium-term inflation expectations reflect these choices,Current and anticipated policy choices influence medium-term inflation expectations.,"Therefore, expectations at that point mainly reflect possible second- and third-round effects as well as, importantly, the effects of current and anticipated policy choices.",NA,NA,NA,PRESENT,speech_16651_batch_1,16651,batch_695a66a5f2e88190971c232624e92430,16651_29
monetary policy action,price expectations in the DMP are affected,Monetary policy action affects price expectations in the DMP.,"A forthcoming working paper by Bank researchers (Mangiante & Masolo, 2022) explores the effect of monetary policy action on price expectations in the DMP.",NA,NA,NA,PRESENT,speech_16651_batch_1,16651,batch_695a66a5f2e88190971c232624e92430,16651_30
MPC cut rates,inflation expectations increased,The MPC cutting rates caused inflation expectations to increase.,"In all three instances they find a significant effect of the announcement on price expectations in line with theory: on 11 March 2020, when the MPC cut rates, inflation expectations increased within the survey round; conversely, in December 2021 and in March 2022, when the MPC hiked rates, expectations fell within the round.",NA,NA,NA,PAST,speech_16651_batch_1,16651,batch_695a66a5f2e88190971c232624e92430,16651_31
MPC hiked rates,inflation expectations fell,The MPC hiking rates caused inflation expectations to fall.,"In all three instances they find a significant effect of the announcement on price expectations in line with theory: on 11 March 2020, when the MPC cut rates, inflation expectations increased within the survey round; conversely, in December 2021 and in March 2022, when the MPC hiked rates, expectations fell within the round.",NA,NA,NA,PAST,speech_16651_batch_1,16651,batch_695a66a5f2e88190971c232624e92430,16651_32
current wholesale energy prices are passed-on to households and firms,enormous pain for millions of people over the winter months,Passing current wholesale energy prices to households and firms causes enormous pain for millions of people over the winter months.,"Clearly, if current wholesale energy prices are allowed to be passed-on to households and firms, this will lead to enormous pain for millions of people over the winter months.",NA,NA,over the winter months,FUTURE,speech_16651_batch_1,16651,batch_695a66a5f2e88190971c232624e92430,16651_33
shift in the Phillips curve,acting sooner and more forcefully,shows how a shift can influence actions,Recognising the potential for a shift in the Phillips curve shows how acting sooner and more forcefully can short-circuit the embedding of inflation by influencing the Tre term.,NA,NA,NA,PRESENT,speech_16651_batch_2,16651,batch_695a66a5f2e88190971c232624e92430,16651_34
acting sooner and more forcefully,short-circuit the embedding of inflation,influences the Tre term to prevent inflation embedding,Recognising the potential for a shift in the Phillips curve shows how acting sooner and more forcefully can short-circuit the embedding of inflation by influencing the Tre term.,NA,NA,NA,PRESENT,speech_16651_batch_2,16651,batch_695a66a5f2e88190971c232624e92430,16651_35
increases in Tre moderated through the expectations channel,less monetary policy tightening needed,reduces the degree of tightening needed,To the extent that increases in Tre are moderated through the expectations channel then the degree of monetary policy tightening needed to achieve the 2% objective is consistent with less of a slowing in aggregate demand and less of a rise in unemployment.,NA,NA,NA,PRESENT,speech_16651_batch_2,16651,batch_695a66a5f2e88190971c232624e92430,16651_36
less monetary policy tightening needed,less slowing in aggregate demand,consistent with less slowing,To the extent that increases in Tre are moderated through the expectations channel then the degree of monetary policy tightening needed to achieve the 2% objective is consistent with less of a slowing in aggregate demand and less of a rise in unemployment.,NA,NA,NA,PRESENT,speech_16651_batch_2,16651,batch_695a66a5f2e88190971c232624e92430,16651_37
less monetary policy tightening needed,less rise in unemployment,consistent with less rise,To the extent that increases in Tre are moderated through the expectations channel then the degree of monetary policy tightening needed to achieve the 2% objective is consistent with less of a slowing in aggregate demand and less of a rise in unemployment.,NA,NA,NA,PRESENT,speech_16651_batch_2,16651,batch_695a66a5f2e88190971c232624e92430,16651_38
persistent misses of the target,inflation expectations become more backward-looking,causes expectations to become backward-looking,"If inflation expectations were to become more backward-looking due to persistent misses of the target, this would require an increased dependence on an aggregate demand slowdown to achieve the 2% inflation target.",NA,If,NA,FUTURE,speech_16651_batch_2,16651,batch_695a66a5f2e88190971c232624e92430,16651_39
inflation expectations become more backward-looking,increased dependence on aggregate demand slowdown,requires more dependence on slowdown,"If inflation expectations were to become more backward-looking due to persistent misses of the target, this would require an increased dependence on an aggregate demand slowdown to achieve the 2% inflation target.",NA,If,NA,FUTURE,speech_16651_batch_2,16651,batch_695a66a5f2e88190971c232624e92430,16651_40
spikes in short-term inflation expectations,drift in medium-term household inflation expectations,matter for medium-term expectations,What is driving the drift in medium-term inflation expectations? The spikes in short-term inflation expectations matter for medium-term household inflation expectations due to the salience of surging energy and food price dynamics.,NA,NA,NA,PRESENT,speech_16651_batch_2,16651,batch_695a66a5f2e88190971c232624e92430,16651_41
surging energy and food price dynamics,drift in medium-term household inflation expectations,due to salience of price dynamics,What is driving the drift in medium-term inflation expectations? The spikes in short-term inflation expectations matter for medium-term household inflation expectations due to the salience of surging energy and food price dynamics.,NA,NA,NA,PRESENT,speech_16651_batch_2,16651,batch_695a66a5f2e88190971c232624e92430,16651_42
sequence of shocks,extend duration of time above 2% target,collectively extend duration above target,"The sequence of shocks matter, because collectively they extend the duration of time above the 2% target.",NA,NA,NA,PRESENT,speech_16651_batch_2,16651,batch_695a66a5f2e88190971c232624e92430,16651_43
share of backward-looking agents rises,more intrinsic inflation persistence,leads to more persistence,"In such a case, the share of backward-looking agents likely rises leading to more intrinsic inflation persistence.",NA,likely,NA,FUTURE,speech_16651_batch_2,16651,batch_695a66a5f2e88190971c232624e92430,16651_44
broadening of categories with higher-than-target inflation,upward-bias to wage negotiations,matters for medium-term expectations,The broadening of categories that show higher-than-target inflation matters for medium-term expectations because of upward-bias to wage negotiations and me-too-ism associated with complementarity in firms pricing strategies.,NA,NA,NA,PRESENT,speech_16651_batch_2,16651,batch_695a66a5f2e88190971c232624e92430,16651_45
broadening of categories with higher-than-target inflation,me-too-ism in firms pricing strategies,associated with complementarity in pricing,The broadening of categories that show higher-than-target inflation matters for medium-term expectations because of upward-bias to wage negotiations and me-too-ism associated with complementarity in firms pricing strategies.,NA,NA,NA,PRESENT,speech_16651_batch_2,16651,batch_695a66a5f2e88190971c232624e92430,16651_46
ratcheting-up from short-term to medium-term expectations,persistent drift higher,could portend a drift higher,"The ratcheting-up from short-term to medium-term expectations has been apparent for a while, and could portend a persistent drift higher.",NA,could,NA,PRESENT,speech_16651_batch_2,16651,batch_695a66a5f2e88190971c232624e92430,16651_47
persistent drift higher,cement expectations inconsistent with 2% target,has potential to cement inconsistent expectations,This has the potential to cement expectations inconsistent with the 2% target which would necessitate a persistently tighter stance of monetary policy that works through the aggregate demand channel.,NA,potential,NA,FUTURE,speech_16651_batch_2,16651,batch_695a66a5f2e88190971c232624e92430,16651_48
cement expectations inconsistent with 2% target,persistently tighter stance of monetary policy,necessitates tighter policy stance,This has the potential to cement expectations inconsistent with the 2% target which would necessitate a persistently tighter stance of monetary policy that works through the aggregate demand channel.,NA,potential,NA,FUTURE,speech_16651_batch_2,16651,batch_695a66a5f2e88190971c232624e92430,16651_49
gradual pace of increase in Bank Rate,embedding of short-term inflation overshoot,has not tempered expectations enough,"When thinking about the tightening undertaken to date, my concern is that the gradual pace of increase in Bank Rate has not tempered expectations enough, allowing the embedding of the short-term inflation overshoot into the persistent drift in medium-term expectations.",NA,NA,NA,PAST,speech_16651_batch_2,16651,batch_695a66a5f2e88190971c232624e92430,16651_50
shift outward of the Phillips curve,permanently higher unemployment,implies higher unemployment to achieve target,The stylized Phillips curve example shows why a shift outward of the curve implies that achieving the 2% target sustainably would be associated with permanently higher unemployment and lower aggregate demand.,NA,NA,NA,PRESENT,speech_16651_batch_2,16651,batch_695a66a5f2e88190971c232624e92430,16651_51
shift outward of the Phillips curve,lower aggregate demand,implies lower demand to achieve target,The stylized Phillips curve example shows why a shift outward of the curve implies that achieving the 2% target sustainably would be associated with permanently higher unemployment and lower aggregate demand.,NA,NA,NA,PRESENT,speech_16651_batch_2,16651,batch_695a66a5f2e88190971c232624e92430,16651_52
ratcheting-up and persistently high inflation in the 1970s,long duration of elevated unemployment,required to bring inflation back down,"The 1970s, with ratcheting-up and persistently high inflation, required a long duration of elevated unemployment to bring inflation back down.",NA,NA,NA,PAST,speech_16651_batch_2,16651,batch_695a66a5f2e88190971c232624e92430,16651_53
tighter policy stance now,reduces degree of restraint to aggregate demand in the future,works through expectations to reduce restraint,A tighter policy stance now working through expectations reduces the degree of restraint to aggregate demand in the future.,NA,NA,in the future,FUTURE,speech_16651_batch_2,16651,batch_695a66a5f2e88190971c232624e92430,16651_54
firms believe monetary policy will keep Phillips curve from shifting,incorporate that into price expectations,like a self-fulfilling prophecy on recessions,"Like the self-fulfilling prophecy on recessions, if firms believe that monetary policy will keep the Phillips curve from shifting, then they will incorporate that into their price expectations.",NA,if,NA,FUTURE,speech_16651_batch_2,16651,batch_695a66a5f2e88190971c232624e92430,16651_55
complementarity in firms price setting,lower macro inflation,generates lower inflation through micro decisions,Complementarity in firms price setting generates lower macro inflation through firms micro decisions.,NA,NA,NA,PRESENT,speech_16651_batch_2,16651,batch_695a66a5f2e88190971c232624e92430,16651_56
monetary policy does not affect expectations formation,drift in medium-term expectations yields shift of Phillips curve,more likely to yield worrisome shift,"On the other hand, if monetary policy does not affect expectations formation - either because it is not forceful enough or if the required path is not credible -the drift in medium-term expectations is more likely to yield that worrisome shift of the Phillips curve.",NA,if,NA,FUTURE,speech_16651_batch_2,16651,batch_695a66a5f2e88190971c232624e92430,16651_57
acting more forcefully now,avoid depending on deeper and longer contraction,designed to prevent norm of drift,"Acting more forcefully now, to ensure that the drift does not become the norm, is designed to avoid depending on a deeper and longer contraction to return inflation to target.",NA,NA,NA,FUTURE,speech_16651_batch_2,16651,batch_695a66a5f2e88190971c232624e92430,16651_58
central projections of the August 2022 Monetary Policy Report,inflation falls to 2 percent,projections indicate a decrease in inflation,"In the central projections of the August 2022 Monetary Policy Report, inflation falls to 2 percent by the end of the second year.",NA,NA,by the end of the second year,FUTURE,speech_16651_batch_3,16651,batch_695a66a5f2e88190971c232624e92430,16651_59
energy prices follow their futures curves,inflation is below target,lower energy prices lead to lower inflation,"In the alternative scenario in which energy prices follow their futures curves at the time of forecast, inflation is already below target at that point with 0.9 percent in 2024 Q3.",0.9 percent in 2024 Q3,NA,at that point,FUTURE,speech_16651_batch_3,16651,batch_695a66a5f2e88190971c232624e92430,16651_60
firms faced negative effects from Covid on their sales,firms decreased their prices by less,negative sales effects lead to smaller price decreases,Some recent evidence for this phenomenon has been documented by Bunn et al. (2022) who show that firms which faced negative effects from Covid on their sales decreased their prices by less than firms increased prices who faced positive effects.,NA,NA,NA,PAST,speech_16651_batch_3,16651,batch_695a66a5f2e88190971c232624e92430,16651_61
firms faced positive effects from Covid on their sales,firms increased their prices,positive sales effects lead to price increases,Some recent evidence for this phenomenon has been documented by Bunn et al. (2022) who show that firms which faced negative effects from Covid on their sales decreased their prices by less than firms increased prices who faced positive effects.,NA,NA,NA,PAST,speech_16651_batch_3,16651,batch_695a66a5f2e88190971c232624e92430,16651_62
real rate increases,inflation decreases,higher real rates reduce inflation,"Traditionally, to ensure a stable equilibrium, the real rate needs to increase to bring inflation down (i.e. nominal interest rate needs to rise by more than the rate of inflation).",NA,NA,NA,NA,speech_16651_batch_3,16651,batch_695a66a5f2e88190971c232624e92430,16651_63
nominal interest rate rises by more than the rate of inflation,real rate increases,higher nominal rates increase real rates,"Traditionally, to ensure a stable equilibrium, the real rate needs to increase to bring inflation down (i.e. nominal interest rate needs to rise by more than the rate of inflation).",NA,NA,NA,NA,speech_16651_batch_3,16651,batch_695a66a5f2e88190971c232624e92430,16651_64
high trend inflation,conditions for determinacy become more extreme,high trend inflation makes determinacy conditions more extreme,"Ascari & Sbordone (2014) show, however, that during times of high trend inflation, conditions for determinacy become more extreme and the central bank needs to increase the nominal rate by a lot more for a given increase in inflation than when trend inflation is low.",NA,NA,during times of high trend inflation,PAST,speech_16651_batch_3,16651,batch_695a66a5f2e88190971c232624e92430,16651_65
central bank increases the nominal rate by a lot more,determinacy conditions are met,higher nominal rates ensure determinacy,"Ascari & Sbordone (2014) show, however, that during times of high trend inflation, conditions for determinacy become more extreme and the central bank needs to increase the nominal rate by a lot more for a given increase in inflation than when trend inflation is low.",NA,NA,NA,PAST,speech_16651_batch_3,16651,batch_695a66a5f2e88190971c232624e92430,16651_66
inflation expectations became anchored at or below targets,difficulty in stimulating the economy,anchored expectations make economic stimulation difficult,"As inflation expectations became anchored at or even below the central banks targets, and interest rates were at the effective lower bound, it became much more difficult to stimulate the economy through the aggregate demand channel.",NA,NA,NA,PAST,speech_16651_batch_3,16651,batch_695a66a5f2e88190971c232624e92430,16651_67
interest rates were at the effective lower bound,difficulty in stimulating the economy,lower bound rates hinder economic stimulation,"As inflation expectations became anchored at or even below the central banks targets, and interest rates were at the effective lower bound, it became much more difficult to stimulate the economy through the aggregate demand channel.",NA,NA,NA,PAST,speech_16651_batch_3,16651,batch_695a66a5f2e88190971c232624e92430,16651_68
introduction of the furlough scheme,unemployment rate did not rise,furlough scheme prevented unemployment increase,This is true even if accounting for the introduction of the furlough scheme which prevented the unemployment rate from rising in the UK.,NA,NA,NA,PAST,speech_16651_batch_3,16651,batch_695a66a5f2e88190971c232624e92430,16651_69
10 percent of furloughed workers were unemployed,unemployment rate would not have exceeded 7 percent,unemployment among furloughed workers limits unemployment rate,"As Haskel (2021) shows, assuming that 10 percent of furloughed workers were in fact unemployed, the unemployment rate would not have exceeded 7 percent - which is in line with historical experience.","10 percent, 7 percent",assuming,NA,PAST,speech_16651_batch_3,16651,batch_695a66a5f2e88190971c232624e92430,16651_70
energy prices,3 percentage points of current inflation,energy prices contribute to inflation,Chart 2.16 in the August 2022 Monetary Policy Report shows that about 3 percentage points of current inflation can be directly attributed to energy prices.,3 percentage points,NA,current,PRESENT,speech_16651_batch_3,16651,batch_695a66a5f2e88190971c232624e92430,16651_71
energy prices,7 percentage points of inflation,energy prices contribute to inflation,Their contribution is projected to increase to 7 percentage points by the end of the year.,7 percentage points,NA,by the end of the year,FUTURE,speech_16651_batch_3,16651,batch_695a66a5f2e88190971c232624e92430,16651_72
oil prices doubled,inflationary supply shocks,oil price increase causes supply shocks,"Similarly, in 1973, oil prices had roughly doubled from 2 to 4 US Dollars per barrel before jumping to 10 US Dollars per barrel in 1974 (see for example ONS, 2022, Consumer price inflation, historical estimates and recent trends i.",doubled from 2 to 4 US Dollars per barrel,NA,1973,PAST,speech_16651_batch_3,16651,batch_695a66a5f2e88190971c232624e92430,16651_73
oil prices jumped to 10 US Dollars per barrel,inflationary supply shocks,oil price increase causes supply shocks,"Similarly, in 1973, oil prices had roughly doubled from 2 to 4 US Dollars per barrel before jumping to 10 US Dollars per barrel in 1974 (see for example ONS, 2022, Consumer price inflation, historical estimates and recent trends i.",jumped to 10 US Dollars per barrel,NA,1974,PAST,speech_16651_batch_3,16651,batch_695a66a5f2e88190971c232624e92430,16651_74
announcements of rate changes,affect household expectations,rate change announcements influence expectations,"A paper with a similar identification scheme is Rast (2022) who, using German time series data on inflation expectations and monetary policy announcements, also finds that announcements of rate changes significantly affect household expectations.",NA,NA,NA,PAST,speech_16651_batch_3,16651,batch_695a66a5f2e88190971c232624e92430,16651_75
announcements of asset purchases and forward guidance,reduced footprint on expectations,asset purchase and guidance announcements have less impact,"On the other hand, announcements of asset purchases and forward guidance have a much reduced footprint.",NA,NA,NA,PAST,speech_16651_batch_3,16651,batch_695a66a5f2e88190971c232624e92430,16651_76
expectations react immediately,inflation adjusts before the real economy,immediate expectation reaction leads to inflation adjustment,"Here, because expectations react immediately but activity is sluggish, inflation can adjust before the real economy.",NA,NA,NA,PRESENT,speech_16651_batch_3,16651,batch_695a66a5f2e88190971c232624e92430,16651_77
Advanced economy central banks increasing policy rates,"Policy rate increases by the Federal Reserve, European Central Bank, and Bank of England",Central banks' decisions lead to changes in policy rates,"Over the last week or so, many advanced economy central banks increased their policy rates.","Federal Reserve by 25 basis points, European Central Bank and Bank of England by 50 basis points",NA,NA,PAST,speech_16652_batch_0,16652,batch_695a66a9c06481909909c5cdf5a8c45b,16652_0
Bank of Canada signaling a pause,No change in policy rate by the Bank of Canada,Signaling a pause leads to maintaining current policy rate,"The Federal Reserve increased by 25 basis points, the European Central Bank and the Bank of England by 50, although the Bank of Canada signalled a pause and the Bank of Japan maintained its updated yield curve control target.",NA,NA,NA,PAST,speech_16652_batch_0,16652,batch_695a66a9c06481909909c5cdf5a8c45b,16652_1
Bank of Japan maintaining updated yield curve control target,No change in policy rate by the Bank of Japan,Maintaining yield curve control target leads to stable policy rate,"The Federal Reserve increased by 25 basis points, the European Central Bank and the Bank of England by 50, although the Bank of Canada signalled a pause and the Bank of Japan maintained its updated yield curve control target.",NA,NA,NA,PAST,speech_16652_batch_0,16652,batch_695a66a9c06481909909c5cdf5a8c45b,16652_2
Turning point in data,Inflection in central banks' policy paths,Turning point in data influences policy decisions,It seems that at least some central bankers are seeing a turning point in data to which they are responding with an inflection in their respective policy paths.,NA,It seems,NA,PRESENT,speech_16652_batch_0,16652,batch_695a66a9c06481909909c5cdf5a8c45b,16652_3
