,json,education,Date_of_birth,Bachelor_institution,Bachelor_year,PhD_institution,PhD_year,PhD_thesis_director,highest_level_of_study,Sources,has_PHD,date_cleaned,Date_filled
Xiang Junbo,"{  ""Date_of_birth"": ""1957"",  ""Bachelor_institution"": ""Renmin University of China"",  ""Bachelor_year"": """",  ""PhD_institution"": ""Peking University"",  ""PhD_year"": """",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""PhD in Law"",  ""Sources"": {    ""Date_of_birth"": ""https://www.caixinglobal.com/2017-04-11/who-was-chinas-fallen-insurance-regulator-xiang-junbo-101077076.html"",    ""Bachelor_institution"": ""https://www.caixinglobal.com/2017-04-11/who-was-chinas-fallen-insurance-regulator-xiang-junbo-101077076.html"",    ""Bachelor_year"": """",    ""PhD_institution"": ""https://www.caixinglobal.com/2017-04-11/who-was-chinas-fallen-insurance-regulator-xiang-junbo-101077076.html"",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://www.caixinglobal.com/2017-04-11/who-was-chinas-fallen-insurance-regulator-xiang-junbo-101077076.html""  }} ","{'Date_of_birth': '1957', 'Bachelor_institution': 'Renmin University of China', 'Bachelor_year': '', 'PhD_institution': 'Peking University', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'PhD in Law', 'Sources': {'Date_of_birth': 'https://www.caixinglobal.com/2017-04-11/who-was-chinas-fallen-insurance-regulator-xiang-junbo-101077076.html', 'Bachelor_institution': 'https://www.caixinglobal.com/2017-04-11/who-was-chinas-fallen-insurance-regulator-xiang-junbo-101077076.html', 'Bachelor_year': '', 'PhD_institution': 'https://www.caixinglobal.com/2017-04-11/who-was-chinas-fallen-insurance-regulator-xiang-junbo-101077076.html', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.caixinglobal.com/2017-04-11/who-was-chinas-fallen-insurance-regulator-xiang-junbo-101077076.html'}}",1957,Renmin University of China,,Peking University,,,PhD in Law,"{'Date_of_birth': 'https://www.caixinglobal.com/2017-04-11/who-was-chinas-fallen-insurance-regulator-xiang-junbo-101077076.html', 'Bachelor_institution': 'https://www.caixinglobal.com/2017-04-11/who-was-chinas-fallen-insurance-regulator-xiang-junbo-101077076.html', 'Bachelor_year': '', 'PhD_institution': 'https://www.caixinglobal.com/2017-04-11/who-was-chinas-fallen-insurance-regulator-xiang-junbo-101077076.html', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.caixinglobal.com/2017-04-11/who-was-chinas-fallen-insurance-regulator-xiang-junbo-101077076.html'}",True,1957-01-01,1957-01-01 00:00:00
Tadao Noda,"{  ""Date_of_birth"": ""None"",  ""Bachelor_institution"": ""None"",  ""Bachelor_year"": ""None"",  ""PhD_institution"": ""None"",  ""PhD_year"": ""None"",  ""PhD_thesis_director"": ""None"",  ""highest_level_of_study"": ""None"",  ""Sources"": {    ""Date_of_birth"": """",    ""Bachelor_institution"": """",    ""Bachelor_year"": """",    ""PhD_institution"": """",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": """"  }} ","{'Date_of_birth': 'None', 'Bachelor_institution': 'None', 'Bachelor_year': 'None', 'PhD_institution': 'None', 'PhD_year': 'None', 'PhD_thesis_director': 'None', 'highest_level_of_study': 'None', 'Sources': {'Date_of_birth': '', 'Bachelor_institution': '', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': ''}}",None,None,None,None,None,None,None,"{'Date_of_birth': '', 'Bachelor_institution': '', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': ''}",False,,
Marja Nyknen,"{  ""Date_of_birth"": ""1962-04-02"",  ""Bachelor_institution"": ""University of Helsinki"",  ""Bachelor_year"": ""1987"",  ""PhD_institution"": """",  ""PhD_year"": """",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""LLM (trained on the bench)"",  ""Sources"": {    ""Date_of_birth"": ""https://www.suomenpankki.fi/en/bank-of-finland/organisation/board/marja-nykanen/"",    ""Bachelor_institution"": ""https://www.suomenpankki.fi/en/bank-of-finland/organisation/board/marja-nykanen/"",    ""Bachelor_year"": ""https://www.suomenpankki.fi/en/bank-of-finland/organisation/board/marja-nykanen/"",    ""PhD_institution"": """",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://www.suomenpankki.fi/en/bank-of-finland/organisation/board/marja-nykanen/""  }} ","{'Date_of_birth': '1962-04-02', 'Bachelor_institution': 'University of Helsinki', 'Bachelor_year': '1987', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'LLM (trained on the bench)', 'Sources': {'Date_of_birth': 'https://www.suomenpankki.fi/en/bank-of-finland/organisation/board/marja-nykanen/', 'Bachelor_institution': 'https://www.suomenpankki.fi/en/bank-of-finland/organisation/board/marja-nykanen/', 'Bachelor_year': 'https://www.suomenpankki.fi/en/bank-of-finland/organisation/board/marja-nykanen/', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.suomenpankki.fi/en/bank-of-finland/organisation/board/marja-nykanen/'}}",1962-04-02,University of Helsinki,1987,,,,LLM (trained on the bench),"{'Date_of_birth': 'https://www.suomenpankki.fi/en/bank-of-finland/organisation/board/marja-nykanen/', 'Bachelor_institution': 'https://www.suomenpankki.fi/en/bank-of-finland/organisation/board/marja-nykanen/', 'Bachelor_year': 'https://www.suomenpankki.fi/en/bank-of-finland/organisation/board/marja-nykanen/', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.suomenpankki.fi/en/bank-of-finland/organisation/board/marja-nykanen/'}",False,1962-04-02,1962-04-02 00:00:00
Dimiter Kostov,"{  ""Date_of_birth"": ""1957-09-22"",  ""Bachelor_institution"": ""University of National and World Economy"",  ""Bachelor_year"": ""1981"",  ""PhD_institution"": """",  ""PhD_year"": """",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""Bachelor's degree"",  ""Sources"": {    ""Date_of_birth"": ""https://www.novinite.com/articles/127096/Bulgaria+Parliament+Re-Elects+C-Bank+Deputy+Chief"",    ""Bachelor_institution"": ""https://www.economedia.bg/eventinfo.php?guid=2799613&page=lecturer"",    ""Bachelor_year"": ""https://www.economedia.bg/eventinfo.php?guid=2799613&page=lecturer"",    ""PhD_institution"": """",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://www.economedia.bg/eventinfo.php?guid=2799613&page=lecturer""  }} ","{'Date_of_birth': '1957-09-22', 'Bachelor_institution': 'University of National and World Economy', 'Bachelor_year': '1981', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': ""Bachelor's degree"", 'Sources': {'Date_of_birth': 'https://www.novinite.com/articles/127096/Bulgaria+Parliament+Re-Elects+C-Bank+Deputy+Chief', 'Bachelor_institution': 'https://www.economedia.bg/eventinfo.php?guid=2799613&page=lecturer', 'Bachelor_year': 'https://www.economedia.bg/eventinfo.php?guid=2799613&page=lecturer', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.economedia.bg/eventinfo.php?guid=2799613&page=lecturer'}}",1957-09-22,University of National and World Economy,1981,,,,Bachelor's degree,"{'Date_of_birth': 'https://www.novinite.com/articles/127096/Bulgaria+Parliament+Re-Elects+C-Bank+Deputy+Chief', 'Bachelor_institution': 'https://www.economedia.bg/eventinfo.php?guid=2799613&page=lecturer', 'Bachelor_year': 'https://www.economedia.bg/eventinfo.php?guid=2799613&page=lecturer', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.economedia.bg/eventinfo.php?guid=2799613&page=lecturer'}",False,1957-09-22,1957-09-22 00:00:00
David Longworth,"{  ""Date_of_birth"": """",  ""Bachelor_institution"": ""University of Alberta"",  ""Bachelor_year"": ""1973"",  ""PhD_institution"": ""Massachusetts Institute of Technology"",  ""PhD_year"": ""1979"",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""PhD"",  ""Sources"": {    ""Date_of_birth"": """",    ""Bachelor_institution"": ""https://www.bankofcanada.ca/profile/david-longworth/"",    ""Bachelor_year"": ""https://www.bankofcanada.ca/profile/david-longworth/"",    ""PhD_institution"": ""https://www.bankofcanada.ca/profile/david-longworth/"",    ""PhD_year"": ""https://www.bankofcanada.ca/profile/david-longworth/"",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://www.bankofcanada.ca/profile/david-longworth/""  }} ","{'Date_of_birth': '', 'Bachelor_institution': 'University of Alberta', 'Bachelor_year': '1973', 'PhD_institution': 'Massachusetts Institute of Technology', 'PhD_year': '1979', 'PhD_thesis_director': '', 'highest_level_of_study': 'PhD', 'Sources': {'Date_of_birth': '', 'Bachelor_institution': 'https://www.bankofcanada.ca/profile/david-longworth/', 'Bachelor_year': 'https://www.bankofcanada.ca/profile/david-longworth/', 'PhD_institution': 'https://www.bankofcanada.ca/profile/david-longworth/', 'PhD_year': 'https://www.bankofcanada.ca/profile/david-longworth/', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.bankofcanada.ca/profile/david-longworth/'}}",,University of Alberta,1973,Massachusetts Institute of Technology,1979,,PhD,"{'Date_of_birth': '', 'Bachelor_institution': 'https://www.bankofcanada.ca/profile/david-longworth/', 'Bachelor_year': 'https://www.bankofcanada.ca/profile/david-longworth/', 'PhD_institution': 'https://www.bankofcanada.ca/profile/david-longworth/', 'PhD_year': 'https://www.bankofcanada.ca/profile/david-longworth/', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.bankofcanada.ca/profile/david-longworth/'}",True,,
Valeria Sannucci,"{  ""Date_of_birth"": ""1953-04-19"",  ""Bachelor_institution"": ""Sapienza University of Rome"",  ""Bachelor_year"": ""1976"",  ""PhD_institution"": """",  ""PhD_year"": """",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""Master of Arts in Economics from Columbia University"",  ""Sources"": {    ""Date_of_birth"": ""https://en.wikipedia.org/wiki/Valeria_Sannucci"",    ""Bachelor_institution"": ""https://en.wikipedia.org/wiki/Valeria_Sannucci"",    ""Bachelor_year"": ""https://en.wikipedia.org/wiki/Valeria_Sannucci"",    ""PhD_institution"": """",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://en.wikipedia.org/wiki/Valeria_Sannucci""  }} ","{'Date_of_birth': '1953-04-19', 'Bachelor_institution': 'Sapienza University of Rome', 'Bachelor_year': '1976', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'Master of Arts in Economics from Columbia University', 'Sources': {'Date_of_birth': 'https://en.wikipedia.org/wiki/Valeria_Sannucci', 'Bachelor_institution': 'https://en.wikipedia.org/wiki/Valeria_Sannucci', 'Bachelor_year': 'https://en.wikipedia.org/wiki/Valeria_Sannucci', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://en.wikipedia.org/wiki/Valeria_Sannucci'}}",1953-04-19,Sapienza University of Rome,1976,,,,Master of Arts in Economics from Columbia University,"{'Date_of_birth': 'https://en.wikipedia.org/wiki/Valeria_Sannucci', 'Bachelor_institution': 'https://en.wikipedia.org/wiki/Valeria_Sannucci', 'Bachelor_year': 'https://en.wikipedia.org/wiki/Valeria_Sannucci', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://en.wikipedia.org/wiki/Valeria_Sannucci'}",False,1953-04-19,1953-04-19 00:00:00
Vasileios Madouros,"{  ""Date_of_birth"": None,  ""Bachelor_institution"": ""University of Warwick"",  ""Bachelor_year"": None,  ""PhD_institution"": None,  ""PhD_year"": None,  ""PhD_thesis_director"": None,  ""highest_level_of_study"": ""Master's degree"",  ""Sources"": {    ""Date_of_birth"": None,    ""Bachelor_institution"": ""https://www.centralbank.ie/news/article/deputy-governor-monetary-and-financial-stability-appointment"",    ""Bachelor_year"": None,    ""PhD_institution"": None,    ""PhD_year"": None,    ""PhD_thesis_director"": None,    ""highest_level_of_study"": ""https://www.centralbank.ie/news/article/deputy-governor-monetary-and-financial-stability-appointment""  }} ","{'Date_of_birth': None, 'Bachelor_institution': 'University of Warwick', 'Bachelor_year': None, 'PhD_institution': None, 'PhD_year': None, 'PhD_thesis_director': None, 'highest_level_of_study': ""Master's degree"", 'Sources': {'Date_of_birth': None, 'Bachelor_institution': 'https://www.centralbank.ie/news/article/deputy-governor-monetary-and-financial-stability-appointment', 'Bachelor_year': None, 'PhD_institution': None, 'PhD_year': None, 'PhD_thesis_director': None, 'highest_level_of_study': 'https://www.centralbank.ie/news/article/deputy-governor-monetary-and-financial-stability-appointment'}}",,University of Warwick,,,,,Master's degree,"{'Date_of_birth': None, 'Bachelor_institution': 'https://www.centralbank.ie/news/article/deputy-governor-monetary-and-financial-stability-appointment', 'Bachelor_year': None, 'PhD_institution': None, 'PhD_year': None, 'PhD_thesis_director': None, 'highest_level_of_study': 'https://www.centralbank.ie/news/article/deputy-governor-monetary-and-financial-stability-appointment'}",False,,
Inia Naiyaga,"{  ""Date_of_birth"": """",  ""Bachelor_institution"": """",  ""Bachelor_year"": """",  ""PhD_institution"": """",  ""PhD_year"": """",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": """",  ""Sources"": {    ""Date_of_birth"": """",    ""Bachelor_institution"": """",    ""Bachelor_year"": """",    ""PhD_institution"": """",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": """"  }} ","{'Date_of_birth': '', 'Bachelor_institution': '', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': '', 'Sources': {'Date_of_birth': '', 'Bachelor_institution': '', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': ''}}",,,,,,,,"{'Date_of_birth': '', 'Bachelor_institution': '', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': ''}",False,,
Pierre Duguay,"{  ""Date_of_birth"": """",  ""Bachelor_institution"": ""Université du Québec à Montréal"",  ""Bachelor_year"": ""1971"",  ""PhD_institution"": """",  ""PhD_year"": """",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""Master's degree in Economics"",  ""Sources"": {    ""Date_of_birth"": """",    ""Bachelor_institution"": ""https://www.bankofcanada.ca/profile/pierre-duguay/"",    ""Bachelor_year"": ""https://www.bankofcanada.ca/profile/pierre-duguay/"",    ""PhD_institution"": """",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://www.bankofcanada.ca/profile/pierre-duguay/""  }} ","{'Date_of_birth': '', 'Bachelor_institution': 'Université du Québec à Montréal', 'Bachelor_year': '1971', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': ""Master's degree in Economics"", 'Sources': {'Date_of_birth': '', 'Bachelor_institution': 'https://www.bankofcanada.ca/profile/pierre-duguay/', 'Bachelor_year': 'https://www.bankofcanada.ca/profile/pierre-duguay/', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.bankofcanada.ca/profile/pierre-duguay/'}}",,Université du Québec à Montréal,1971,,,,Master's degree in Economics,"{'Date_of_birth': '', 'Bachelor_institution': 'https://www.bankofcanada.ca/profile/pierre-duguay/', 'Bachelor_year': 'https://www.bankofcanada.ca/profile/pierre-duguay/', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.bankofcanada.ca/profile/pierre-duguay/'}",False,,
David Bailey,"{  ""Date_of_birth"": None,  ""Bachelor_institution"": ""Durham University"",  ""Bachelor_year"": None,  ""PhD_institution"": None,  ""PhD_year"": None,  ""PhD_thesis_director"": None,  ""highest_level_of_study"": ""Bachelor's degree"",  ""Sources"": {    ""Date_of_birth"": None,    ""Bachelor_institution"": ""https://www.bankofengland.co.uk/about/people/david-bailey/biography"",    ""Bachelor_year"": None,    ""PhD_institution"": None,    ""PhD_year"": None,    ""PhD_thesis_director"": None,    ""highest_level_of_study"": ""https://www.bankofengland.co.uk/about/people/david-bailey/biography""  }} ","{'Date_of_birth': None, 'Bachelor_institution': 'Durham University', 'Bachelor_year': None, 'PhD_institution': None, 'PhD_year': None, 'PhD_thesis_director': None, 'highest_level_of_study': ""Bachelor's degree"", 'Sources': {'Date_of_birth': None, 'Bachelor_institution': 'https://www.bankofengland.co.uk/about/people/david-bailey/biography', 'Bachelor_year': None, 'PhD_institution': None, 'PhD_year': None, 'PhD_thesis_director': None, 'highest_level_of_study': 'https://www.bankofengland.co.uk/about/people/david-bailey/biography'}}",,Durham University,,,,,Bachelor's degree,"{'Date_of_birth': None, 'Bachelor_institution': 'https://www.bankofengland.co.uk/about/people/david-bailey/biography', 'Bachelor_year': None, 'PhD_institution': None, 'PhD_year': None, 'PhD_thesis_director': None, 'highest_level_of_study': 'https://www.bankofengland.co.uk/about/people/david-bailey/biography'}",False,,
Fundi Tshazibana,"{  ""Date_of_birth"": ""1977"",  ""Bachelor_institution"": ""University of KwaZulu-Natal"",  ""Bachelor_year"": ""1995"",  ""PhD_institution"": """",  ""PhD_year"": """",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""Master of Commerce in Economics"",  ""Sources"": {    ""Date_of_birth"": ""https://www.acumenmagazine.co.za/articles/women-in-business-and-leadership-south-african-reserve-bank-deputy-governor-fundi-tshazibana-12572.html"",    ""Bachelor_institution"": ""https://www.acumenmagazine.co.za/articles/women-in-business-and-leadership-south-african-reserve-bank-deputy-governor-fundi-tshazibana-12572.html"",    ""Bachelor_year"": ""https://www.acumenmagazine.co.za/articles/women-in-business-and-leadership-south-african-reserve-bank-deputy-governor-fundi-tshazibana-12572.html"",    ""PhD_institution"": """",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://www.acumenmagazine.co.za/articles/women-in-business-and-leadership-south-african-reserve-bank-deputy-governor-fundi-tshazibana-12572.html""  }} ","{'Date_of_birth': '1977', 'Bachelor_institution': 'University of KwaZulu-Natal', 'Bachelor_year': '1995', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'Master of Commerce in Economics', 'Sources': {'Date_of_birth': 'https://www.acumenmagazine.co.za/articles/women-in-business-and-leadership-south-african-reserve-bank-deputy-governor-fundi-tshazibana-12572.html', 'Bachelor_institution': 'https://www.acumenmagazine.co.za/articles/women-in-business-and-leadership-south-african-reserve-bank-deputy-governor-fundi-tshazibana-12572.html', 'Bachelor_year': 'https://www.acumenmagazine.co.za/articles/women-in-business-and-leadership-south-african-reserve-bank-deputy-governor-fundi-tshazibana-12572.html', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.acumenmagazine.co.za/articles/women-in-business-and-leadership-south-african-reserve-bank-deputy-governor-fundi-tshazibana-12572.html'}}",1977,University of KwaZulu-Natal,1995,,,,Master of Commerce in Economics,"{'Date_of_birth': 'https://www.acumenmagazine.co.za/articles/women-in-business-and-leadership-south-african-reserve-bank-deputy-governor-fundi-tshazibana-12572.html', 'Bachelor_institution': 'https://www.acumenmagazine.co.za/articles/women-in-business-and-leadership-south-african-reserve-bank-deputy-governor-fundi-tshazibana-12572.html', 'Bachelor_year': 'https://www.acumenmagazine.co.za/articles/women-in-business-and-leadership-south-african-reserve-bank-deputy-governor-fundi-tshazibana-12572.html', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.acumenmagazine.co.za/articles/women-in-business-and-leadership-south-african-reserve-bank-deputy-governor-fundi-tshazibana-12572.html'}",False,1977-01-01,1977-01-01 00:00:00
Alan S Blinder,"{  ""Date_of_birth"": ""1945-10-14"",  ""Bachelor_institution"": ""Princeton University"",  ""Bachelor_year"": ""1967"",  ""PhD_institution"": ""Massachusetts Institute of Technology"",  ""PhD_year"": ""1971"",  ""PhD_thesis_director"": ""Robert Solow"",  ""highest_level_of_study"": ""PhD"",  ""Sources"": {    ""Date_of_birth"": ""https://www.federalreservehistory.org/people/alan-s-blinder"",    ""Bachelor_institution"": ""https://www.federalreservehistory.org/people/alan-s-blinder"",    ""Bachelor_year"": ""https://www.federalreservehistory.org/people/alan-s-blinder"",    ""PhD_institution"": ""https://www.federalreservehistory.org/people/alan-s-blinder"",    ""PhD_year"": ""https://www.federalreservehistory.org/people/alan-s-blinder"",    ""PhD_thesis_director"": ""https://en.wikipedia.org/wiki/Alan_Blinder"",    ""highest_level_of_study"": ""https://www.federalreservehistory.org/people/alan-s-blinder""  }} ","{'Date_of_birth': '1945-10-14', 'Bachelor_institution': 'Princeton University', 'Bachelor_year': '1967', 'PhD_institution': 'Massachusetts Institute of Technology', 'PhD_year': '1971', 'PhD_thesis_director': 'Robert Solow', 'highest_level_of_study': 'PhD', 'Sources': {'Date_of_birth': 'https://www.federalreservehistory.org/people/alan-s-blinder', 'Bachelor_institution': 'https://www.federalreservehistory.org/people/alan-s-blinder', 'Bachelor_year': 'https://www.federalreservehistory.org/people/alan-s-blinder', 'PhD_institution': 'https://www.federalreservehistory.org/people/alan-s-blinder', 'PhD_year': 'https://www.federalreservehistory.org/people/alan-s-blinder', 'PhD_thesis_director': 'https://en.wikipedia.org/wiki/Alan_Blinder', 'highest_level_of_study': 'https://www.federalreservehistory.org/people/alan-s-blinder'}}",1945-10-14,Princeton University,1967,Massachusetts Institute of Technology,1971,Robert Solow,PhD,"{'Date_of_birth': 'https://www.federalreservehistory.org/people/alan-s-blinder', 'Bachelor_institution': 'https://www.federalreservehistory.org/people/alan-s-blinder', 'Bachelor_year': 'https://www.federalreservehistory.org/people/alan-s-blinder', 'PhD_institution': 'https://www.federalreservehistory.org/people/alan-s-blinder', 'PhD_year': 'https://www.federalreservehistory.org/people/alan-s-blinder', 'PhD_thesis_director': 'https://en.wikipedia.org/wiki/Alan_Blinder', 'highest_level_of_study': 'https://www.federalreservehistory.org/people/alan-s-blinder'}",True,1945-10-14,1945-10-14 00:00:00
Perry Warjiyo,"{  ""Date_of_birth"": ""1959-02-25"",  ""Bachelor_institution"": ""Gadjah Mada University"",  ""Bachelor_year"": ""1982"",  ""PhD_institution"": ""Iowa State University"",  ""PhD_year"": ""1991"",  ""PhD_thesis_director"": ""Wallace Huffman"",  ""highest_level_of_study"": ""PhD"",  ""Sources"": {    ""Date_of_birth"": ""https://en.wikipedia.org/wiki/Perry_Warjiyo"",    ""Bachelor_institution"": ""https://www.econ.iastate.edu/stories/perry-warjiyo"",    ""Bachelor_year"": ""https://www.econ.iastate.edu/stories/perry-warjiyo"",    ""PhD_institution"": ""https://www.econ.iastate.edu/stories/perry-warjiyo"",    ""PhD_year"": ""https://www.econ.iastate.edu/stories/perry-warjiyo"",    ""PhD_thesis_director"": ""https://www.econ.iastate.edu/stories/perry-warjiyo"",    ""highest_level_of_study"": ""https://www.econ.iastate.edu/stories/perry-warjiyo""  }} ","{'Date_of_birth': '1959-02-25', 'Bachelor_institution': 'Gadjah Mada University', 'Bachelor_year': '1982', 'PhD_institution': 'Iowa State University', 'PhD_year': '1991', 'PhD_thesis_director': 'Wallace Huffman', 'highest_level_of_study': 'PhD', 'Sources': {'Date_of_birth': 'https://en.wikipedia.org/wiki/Perry_Warjiyo', 'Bachelor_institution': 'https://www.econ.iastate.edu/stories/perry-warjiyo', 'Bachelor_year': 'https://www.econ.iastate.edu/stories/perry-warjiyo', 'PhD_institution': 'https://www.econ.iastate.edu/stories/perry-warjiyo', 'PhD_year': 'https://www.econ.iastate.edu/stories/perry-warjiyo', 'PhD_thesis_director': 'https://www.econ.iastate.edu/stories/perry-warjiyo', 'highest_level_of_study': 'https://www.econ.iastate.edu/stories/perry-warjiyo'}}",1959-02-25,Gadjah Mada University,1982,Iowa State University,1991,Wallace Huffman,PhD,"{'Date_of_birth': 'https://en.wikipedia.org/wiki/Perry_Warjiyo', 'Bachelor_institution': 'https://www.econ.iastate.edu/stories/perry-warjiyo', 'Bachelor_year': 'https://www.econ.iastate.edu/stories/perry-warjiyo', 'PhD_institution': 'https://www.econ.iastate.edu/stories/perry-warjiyo', 'PhD_year': 'https://www.econ.iastate.edu/stories/perry-warjiyo', 'PhD_thesis_director': 'https://www.econ.iastate.edu/stories/perry-warjiyo', 'highest_level_of_study': 'https://www.econ.iastate.edu/stories/perry-warjiyo'}",True,1959-02-25,1959-02-25 00:00:00
Yukitoshi Funo,"{  ""Date_of_birth"": ""1947-02-01"",  ""Bachelor_institution"": ""Kobe University"",  ""Bachelor_year"": ""1969"",  ""PhD_institution"": """",  ""PhD_year"": """",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""MBA"",  ""Sources"": {    ""Date_of_birth"": ""https://www.boj.or.jp/en/about/activities/act/ar2017.htm"",    ""Bachelor_institution"": ""https://www.boj.or.jp/en/about/activities/act/ar2017.htm"",    ""Bachelor_year"": ""https://www.boj.or.jp/en/about/activities/act/ar2017.htm"",    ""PhD_institution"": """",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://www.boj.or.jp/en/about/activities/act/ar2017.htm""  }} ","{'Date_of_birth': '1947-02-01', 'Bachelor_institution': 'Kobe University', 'Bachelor_year': '1969', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'MBA', 'Sources': {'Date_of_birth': 'https://www.boj.or.jp/en/about/activities/act/ar2017.htm', 'Bachelor_institution': 'https://www.boj.or.jp/en/about/activities/act/ar2017.htm', 'Bachelor_year': 'https://www.boj.or.jp/en/about/activities/act/ar2017.htm', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.boj.or.jp/en/about/activities/act/ar2017.htm'}}",1947-02-01,Kobe University,1969,,,,MBA,"{'Date_of_birth': 'https://www.boj.or.jp/en/about/activities/act/ar2017.htm', 'Bachelor_institution': 'https://www.boj.or.jp/en/about/activities/act/ar2017.htm', 'Bachelor_year': 'https://www.boj.or.jp/en/about/activities/act/ar2017.htm', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.boj.or.jp/en/about/activities/act/ar2017.htm'}",False,1947-02-01,1947-02-01 00:00:00
